SID,CID,SCORE,TID,NAME,SEX,AGE,BIRTHDAY,DNAME,CLASS
200900130001,300023,64.0,100023,段玉东,男,22.0,33140.0,艺术学院,2009
200900130001,300037,77.0,100006,段玉东,男,22.0,33140.0,艺术学院,2009
200900130001,300007,77.0,100007,段玉东,男,22.0,33140.0,艺术学院,2009
200900130001,300020,87.0,100020,段玉东,男,22.0,33140.0,艺术学院,2009
200900130001,300022,76.0,100022,段玉东,男,22.0,33140.0,艺术学院,2009
200900130002,300036,69.0,100005,李美英,,21.0,33581.0,物理学院,2004
200900130002,300007,64.0,100007,李美英,,21.0,33581.0,物理学院,2004
200900130002,300029,98.0,100029,李美英,,21.0,33581.0,物理学院,2004
200900130002,300004,94.0,100004,李美英,,21.0,33581.0,物理学院,2004
200900130002,300021,92.0,100021,李美英,,21.0,33581.0,物理学院,2004
200900130003,300009,98.0,100009,李徐贵,女,21.0,33409.0,医学院,2010
200900130003,300018,89.0,100018,李徐贵,女,21.0,33409.0,医学院,2010
200900130003,300014,61.0,100014,李徐贵,女,21.0,33409.0,医学院,2010
200900130003,300038,52.0,100007,李徐贵,女,21.0,33409.0,医学院,2010
200900130003,300029,87.0,100029,李徐贵,女,21.0,33409.0,医学院,2010
200900130004,300023,64.0,100023,安鹏鹏,男,18.0,34585.0,计算机科学与技术学院,2004
200900130004,300025,58.0,100025,安鹏鹏,男,18.0,34585.0,计算机科学与技术学院,2004
200900130004,300036,62.0,100005,安鹏鹏,男,18.0,34585.0,计算机科学与技术学院,2004
200900130004,300009,74.0,100009,安鹏鹏,男,18.0,34585.0,计算机科学与技术学院,2004
200900130004,300007,92.0,100007,安鹏鹏,男,18.0,34585.0,计算机科学与技术学院,2004
200900130005,300012,82.0,100012,郭巨有,男,19.0,34222.0,经济学院,2005
200900130005,300037,63.0,100006,郭巨有,男,19.0,34222.0,经济学院,2005
200900130005,300030,51.0,100030,郭巨有,男,19.0,34222.0,经济学院,2005
200900130005,300039,51.0,100008,郭巨有,男,19.0,34222.0,经济学院,2005
200900130005,300018,59.0,100018,郭巨有,男,19.0,34222.0,经济学院,2005
200900130006,300028,92.0,100028,崔洪涛,男,20.0,33813.0,历史文化学院,2007
200900130006,300037,87.0,100006,崔洪涛,男,20.0,33813.0,历史文化学院,2007
200900130006,300034,90.0,100003,崔洪涛,男,20.0,33813.0,历史文化学院,2007
200900130006,300017,94.0,100017,崔洪涛,男,20.0,33813.0,历史文化学院,2007
200900130006,300004,86.0,100004,崔洪涛,男,20.0,33813.0,历史文化学院,2007
200900130007,300008,60.0,100008,朵弘,女,18.0,34506.0,环境科学与工程学院,2004
200900130007,300034,94.0,100003,朵弘,女,18.0,34506.0,环境科学与工程学院,2004
200900130007,300016,97.0,100016,朵弘,女,18.0,34506.0,环境科学与工程学院,2004
200900130007,300037,82.0,100006,朵弘,女,18.0,34506.0,环境科学与工程学院,2004
200900130007,300035,76.0,100004,朵弘,女,18.0,34506.0,环境科学与工程学院,2004
200900130008,300024,51.0,100024,高德亮,女,19.0,34281.0,哲学与社会发展学院,2004
200900130008,300014,74.0,100014,高德亮,女,19.0,34281.0,哲学与社会发展学院,2004
200900130008,300017,96.0,100017,高德亮,女,19.0,34281.0,哲学与社会发展学院,2004
