SID,NAME,SEX,AGE,BIRTHDAY,DNAME,CLASS
200900130604,李新建,女,24.0,32434.0,数学学院,2011
200900130605,李爱民,男,24.0,32366.0,经济学院,2007
200900130606,李安平,女,19.0,34293.0,管理学院,2008
200900130608,韩林堂,女,22.0,33065.0,管理学院,2005
200900130609,郭龙,男,24.0,32307.0,数学学院,2011
200900130610,李明,男,24.0,32182.0,公共卫生学院,2007
200900130611,陈昌兵,女,23.0,32617.0,医学院,2008
200900130613,候海明,男,21.0,33324.0,艺术学院,2008
200900130614,李俊华,女,20.0,33630.0,,2004
200900130615,李文亮,女,24.0,32455.0,医学院,2008
200900130616,常民亮,女,22.0,33197.0,物理学院,2005
200900130617,梁代红,男,20.0,33670.0,物理学院,2011
200900130618,方庆,男,21.0,33593.0,化学与化工学院,2005
200900130619,高新生,女,20.0,33939.0,国际教育学院,2011
200900130621,李效兵,女,18.0,34478.0,公共卫生学院,2004
200900130622,郭宣,,24.0,32264.0,艺术学院,2007
200900130623,蔡长安,男,19.0,34221.0,公共卫生学院,2008
200900130624,李美春,,19.0,34326.0,马克思主义学院,2010
200900130626,康爱英,男,20.0,33712.0,软件学院,2008
200900130627,李金山,男,18.0,34676.0,医学院,2009
200900130628,姜从国,,21.0,33307.0,经济学院,2004
200900130629,刘凤莲,男,24.0,32435.0,信息科学与工程学院,2007
200900130630,段韦唯,男,19.0,34253.0,医学院,2008
200900130632,李吉开,男,23.0,32830.0,哲学与社会发展学院,2005
200900130633,刘海峰,男,20.0,33767.0,历史文化学院,2011
200900130634,胡海东,女,23.0,32791.0,医学院,2005
200900130635,李爱仙,女,18.0,34627.0,医学院,2004
200900130636,郝俊秀,女,18.0,34608.0,,2004
200900130637,李亮亮,男,21.0,33348.0,信息科学与工程学院,2008
200900130638,安二虎,女,20.0,33636.0,软件学院,2005
200900130639,白江兰,男,22.0,32945.0,马克思主义学院,2008
200900130640,贾海龙,女,21.0,33410.0,物理学院,2004
200900130641,康补来,男,18.0,34470.0,公共卫生学院,2010
200900130642,李军奎,女,21.0,33275.0,历史文化学院,2008
200900130643,高台生,男,19.0,34098.0,公共卫生学院,2009
200900130644,高卫平,男,24.0,32465.0,国际教育学院,2009
200900130645,韩乐闻,女,19.0,34247.0,,2006
200900130646,李宏武,男,21.0,33536.0,计算机科学与技术学院,2010
200900130647,白玉平,,21.0,33553.0,数学学院,2004
200900130648,郭成勇,女,23.0,32552.0,软件学院,2007
200900130649,李文玉,女,20.0,33833.0,信息科学与工程学院,2006
200900130650,常宏,女,18.0,34681.0,计算机科学与技术学院,2010
200900130651,刘军平,女,18.0,34587.0,信息科学与工程学院,2011
200900130652,崔玉波,男,22.0,32980.0,生命科学学院,2004
200900130653,韩爱双,女,21.0,33477.0,历史文化学院,2011
200900130654,高存梅,男,21.0,33286.0,,2009
200900130655,白爱云,男,21.0,33243.0,历史文化学院,2011
200900130656,蔡忠发,女,23.0,32860.0,艺术学院,2006
200900130657,解龙,男,19.0,34192.0,管理学院,2007
200900130658,李飞,男,20.0,33804.0,历史文化学院,2004
200900130659,李如心,女,18.0,34528.0,国际教育学院,2011
200900130660,李金平,男,23.0,32624.0,艺术学院,2008
200900130661,蒋玉泉,女,24.0,32325.0,经济学院,2005
200900130662,雷朝辉,男,20.0,33910.0,管理学院,2010
200900130663,亢伟林,女,23.0,32835.0,管理学院,2005
200900130664,陈志红,男,18.0,34396.0,国际教育学院,2007
200900130665,李润峰,男,20.0,33726.0,软件学院,2009
200900130666,樊国峰,男,23.0,32736.0,公共卫生学院,2010
200900130667,郭国强,男,22.0,33066.0,计算机科学与技术学院,2006
200900130668,白永妙,男,18.0,34380.0,法学院,2007
200900130669,韩玉保,男,22.0,33235.0,艺术学院,2009
200900130670,李兰芳,,22.0,32950.0,艺术学院,2005
200900130671,李玲,男,18.0,34612.0,历史文化学院,2007
200900130672,郭丽媛,男,23.0,32547.0,哲学与社会发展学院,2005
200900130673,程付云,,20.0,33862.0,计算机科学与技术学院,2007
200900130674,李文明,男,21.0,33288.0,化学与化工学院,2006
200900130675,刘利民,女,23.0,32583.0,艺术学院,2007
200900130676,韩嘉,男,20.0,33918.0,医学院,2009
200900130677,李常福,女,18.0,34578.0,经济学院,2007
200900130678,李海伟,男,21.0,33367.0,马克思主义学院,2009
200900130679,弓志红,男,20.0,33802.0,信息科学与工程学院,2007
200900130680,郝艳峰,女,23.0,32648.0,公共卫生学院,2006
200900130681,贾晶慧,男,21.0,33491.0,外国语学院,2004
200900130682,李小云,,20.0,33696.0,环境科学与工程学院,2008
200900130683,李慧,女,21.0,33473.0,软件学院,2006
200900130684,李亚军,女,22.0,33201.0,信息科学与工程学院,2007
200900130685,白建伟,男,21.0,33281.0,化学与化工学院,2009
200900130686,柴起劳,男,19.0,34111.0,信息科学与工程学院,2009
200900130687,柴翠莲,男,22.0,33133.0,公共卫生学院,2011
200900130688,郭志强,男,22.0,33033.0,化学与化工学院,2010
200900130689,康素文,男,24.0,32271.0,物理学院,2004
200900130690,姜宁,,22.0,33154.0,管理学院,2007
200900130691,陈佳,女,20.0,33654.0,医学院,2008
200900130692,陈庭宝,男,23.0,32541.0,艺术学院,2011
200900130693,李建国,女,22.0,32977.0,计算机科学与技术学院,2010
200900130694,车敬东,男,18.0,34461.0,医学院,2009
200900130695,雷生忠,女,21.0,33359.0,马克思主义学院,2004
200900130696,樊玉平,女,19.0,34329.0,信息科学与工程学院,2005
200900130697,李巨才,女,18.0,34440.0,环境科学与工程学院,2010
200900130698,白狗只,女,18.0,34645.0,国际教育学院,2007
200900130699,郭迷青,女,21.0,33310.0,物理学院,2007
200900130700,胡娅男,女,23.0,32516.0,医学院,2007
200900130701,曹雅丽,女,19.0,34078.0,管理学院,2011
200900130702,高静,女,20.0,33914.0,化学与化工学院,2010
200900130703,康树明,女,18.0,34625.0,外国语学院,2004
200900130704,李会忠,男,18.0,34581.0,化学与化工学院,2010
200900130705,耿智星,男,18.0,34467.0,,2006
200900130706,过佳,女,21.0,33414.0,,2010
200900130707,郭晓勇,,23.0,32562.0,艺术学院,2004
200900130708,姬少华,女,24.0,32427.0,物理学院,2008
200900130709,弓永强,男,23.0,32686.0,,2006
200900130710,顾青娃,女,20.0,33854.0,信息科学与工程学院,2005
200900130711,李生平,男,20.0,33855.0,信息科学与工程学院,2009
200900130712,刘军民,女,19.0,34238.0,医学院,2007
200900130713,贾毛成,女,21.0,33250.0,物理学院,2005
200900130715,郭俊海,男,22.0,32944.0,管理学院,2010
200900130716,梁玉山,男,20.0,33658.0,马克思主义学院,2010
200900130717,刘百则,,22.0,32931.0,医学院,2009
200900130718,刘和平,,18.0,34512.0,数学学院,2009
200900130719,白建林,男,23.0,32741.0,物理学院,2007
200900130721,段爱文,女,19.0,34262.0,经济学院,2008
200900130722,李勇,女,21.0,33372.0,管理学院,2011
200900130723,花建芳,,19.0,34144.0,,2007
200900130724,付建飞,女,21.0,33319.0,计算机科学与技术学院,2006
200900130725,蔡建堂,男,24.0,32413.0,数学学院,2010
200900130727,崔志强,男,22.0,33213.0,信息科学与工程学院,2008
200900130728,姬虎威,男,22.0,33172.0,医学院,2005
200900130729,耿玉文,男,22.0,33001.0,管理学院,2008
200900130730,陈文超,,20.0,33920.0,化学与化工学院,2006
200900130732,冯玮斌,女,23.0,32585.0,历史文化学院,2004
200900130733,曹金凤,男,20.0,33917.0,管理学院,2005
200900130734,高黎明,女,18.0,34343.0,,2008
200900130735,李娟娟,男,24.0,32198.0,马克思主义学院,2007
200900130736,葛保花,,23.0,32863.0,国际教育学院,2006
200900130738,李改兵,女,22.0,33137.0,计算机科学与技术学院,2011
200900130739,范艳鑫,女,19.0,34161.0,哲学与社会发展学院,2008
200900130741,刘剑平,男,21.0,33276.0,哲学与社会发展学院,2010
200900130742,刘金午,男,24.0,32496.0,经济学院,2008
200900130744,李芝娜,女,22.0,33091.0,马克思主义学院,2011
200900130745,程红斌,,20.0,33680.0,经济学院,2011
200900130746,林成科,女,23.0,32674.0,物理学院,2007
200900130747,鲍江丽,男,18.0,34379.0,马克思主义学院,2010
200900130749,贡飞,,19.0,34257.0,经济学院,2008
200900130750,李贵贵,男,24.0,32439.0,数学学院,2009
200900130751,李国军,女,24.0,32392.0,哲学与社会发展学院,2008
200900130752,李杰,男,22.0,33071.0,计算机科学与技术学院,2007
200900130753,李晓东,男,20.0,33709.0,医学院,2008
200900130755,韩金生,女,19.0,34216.0,软件学院,2010
200900130756,刘翠花,女,21.0,33454.0,管理学院,2009
200900130757,代德俊,男,19.0,34135.0,生命科学学院,2011
200900130759,贾石旺,男,22.0,33061.0,,2007
200900130760,郭秀清,男,19.0,34152.0,,2008
200900130761,李成生,男,19.0,34116.0,,2011
200900130762,侯斌华,女,22.0,32877.0,经济学院,2011
200900130763,耿全旺,女,21.0,33422.0,数学学院,2008
200900130764,霍海生,女,18.0,34384.0,信息科学与工程学院,2011
200900130765,崔晋太,女,19.0,34140.0,环境科学与工程学院,2011
200900130766,韩志强,男,19.0,34316.0,化学与化工学院,2008
200900130768,胡爱华,女,22.0,33216.0,环境科学与工程学院,2006
200900130769,侯建刚,女,23.0,32736.0,,2009
200900130770,陈晓毅,,21.0,33365.0,哲学与社会发展学院,2007
200900130772,李超瑞,女,20.0,33748.0,生命科学学院,2007
200900130773,高俊林,女,18.0,34674.0,计算机科学与技术学院,2008
200900130775,李建红,,22.0,33192.0,物理学院,2010
200900130776,籍东伟,女,24.0,32269.0,经济学院,2010
200900130777,蒋力,男,18.0,34466.0,马克思主义学院,2004
200900130778,高旭青,男,19.0,34231.0,环境科学与工程学院,2008
200900130780,段情怀,男,24.0,32210.0,化学与化工学院,2011
200900130781,高平平,男,23.0,32729.0,经济学院,2009
200900130782,陈勇,女,24.0,32493.0,历史文化学院,2005
200900130783,仇贵锁,男,21.0,33246.0,物理学院,2010
200900130784,郭彪,女,23.0,32591.0,法学院,2009
200900130786,郭长春,男,23.0,32772.0,经济学院,2005
200900130787,李丽明,男,21.0,33485.0,管理学院,2008
200900130788,郭宏,男,22.0,33092.0,环境科学与工程学院,2010
200900130789,曹保健,女,18.0,34534.0,历史文化学院,2006
200900130001,段玉东,男,22.0,33140.0,艺术学院,2009
200900130002,李美英,,21.0,33581.0,物理学院,2004
200900130003,李徐贵,女,21.0,33409.0,医学院,2010
200900130004,安鹏鹏,男,18.0,34585.0,计算机科学与技术学院,2004
200900130005,郭巨有,男,19.0,34222.0,经济学院,2005
200900130006,崔洪涛,男,20.0,33813.0,历史文化学院,2007
200900130007,朵弘,女,18.0,34506.0,环境科学与工程学院,2004
200900130008,高德亮,女,19.0,34281.0,哲学与社会发展学院,2004
200900130009,郭江林,男,20.0,33695.0,管理学院,2010
200900130010,韩鹏飞,女,19.0,34214.0,医学院,2005
200900130011,李光会,女,22.0,32896.0,历史文化学院,2007
200900130012,郎李庆,,23.0,32736.0,医学院,2004
200900130013,侯德万,,19.0,34063.0,软件学院,2008
200900130014,刘斌,女,22.0,32959.0,法学院,2009
200900130015,崔财明,女,20.0,33871.0,哲学与社会发展学院,2005
200900130016,李小东,,18.0,34548.0,公共卫生学院,2004
200900130017,杜根虎,男,22.0,33222.0,物理学院,2011
200900130018,蔡建堂,,24.0,32374.0,历史文化学院,2005
200900130019,韩胜利,男,20.0,33821.0,数学学院,2004
200900130020,李锁清,女,23.0,32521.0,历史文化学院,2005
200900130021,冯光清,女,19.0,33971.0,数学学院,2011
200900130022,冯赵红,男,20.0,33619.0,公共卫生学院,2008
200900130023,李东升,,21.0,33332.0,数学学院,2009
200900130024,黄海涛,男,18.0,34609.0,马克思主义学院,2004
200900130025,李连梅,男,18.0,34397.0,哲学与社会发展学院,2010
200900130026,李波,,21.0,33362.0,物理学院,2004
200900130027,梁凤歧,女,21.0,33255.0,管理学院,2008
200900130028,常宏,女,24.0,32359.0,环境科学与工程学院,2011
200900130029,杜玉林,女,20.0,33781.0,外国语学院,2005
200900130030,陈国军,女,20.0,33672.0,信息科学与工程学院,2008
200900130031,李巧梅,女,24.0,32381.0,经济学院,2005
200900130032,柏冬明,女,23.0,32572.0,生命科学学院,2004
200900130033,何忠平,女,21.0,33293.0,信息科学与工程学院,2011
200900130034,郭斌,男,23.0,32686.0,环境科学与工程学院,2009
200900130035,陈爱红,女,22.0,32882.0,公共卫生学院,2007
200900130036,郭长喜,男,20.0,33653.0,环境科学与工程学院,2005
200900130037,李海亮,女,24.0,32314.0,计算机科学与技术学院,2011
200900130038,陈栋良,女,24.0,32432.0,生命科学学院,2010
200900130039,贾应甫,女,18.0,34573.0,医学院,2007
200900130040,靳鹏翔,女,22.0,33169.0,生命科学学院,2009
200900130041,董育红,女,19.0,34084.0,计算机科学与技术学院,2004
200900130042,郭军平,女,22.0,32997.0,管理学院,2006
200900130043,李光慧,女,23.0,32630.0,信息科学与工程学院,2006
200900130044,李绪成,女,24.0,32488.0,医学院,2010
200900130045,陈定明,女,20.0,33864.0,信息科学与工程学院,2004
200900130046,白连清,男,23.0,32560.0,,2011
200900130047,成平遥,男,23.0,32710.0,软件学院,2008
200900130048,解云杰,男,21.0,33533.0,法学院,2008
200900130049,李林丹,女,19.0,34069.0,生命科学学院,2005
200900130050,陈东斌,,19.0,34043.0,,2008
200900130051,段中,女,19.0,34264.0,数学学院,2006
200900130052,李增建,女,19.0,34074.0,法学院,2010
200900130053,郝耀华,男,23.0,32581.0,公共卫生学院,2011
200900130054,郭秀生,男,22.0,32984.0,化学与化工学院,2011
200900130055,候智文,女,24.0,32161.0,计算机科学与技术学院,2010
200900130056,李安太,男,24.0,32299.0,医学院,2004
200900130057,李秀忠,男,21.0,33280.0,医学院,2008
200900130058,樊玉平,女,19.0,33987.0,管理学院,2005
200900130059,范晶杰,男,18.0,34341.0,医学院,2005
200900130060,良友明,男,19.0,34258.0,哲学与社会发展学院,2010
200900130061,杜燕,男,19.0,34115.0,外国语学院,2010
200900130062,蔡建军,女,21.0,33512.0,公共卫生学院,2007
200900130063,韩世伟,男,20.0,33767.0,计算机科学与技术学院,2007
200900130064,李月亮,女,23.0,32710.0,,2010
200900130065,刘建明,女,21.0,33374.0,软件学院,2008
200900130066,郭雪江,女,21.0,33376.0,经济学院,2004
200900130067,侯佳,女,24.0,32304.0,信息科学与工程学院,2005
200900130068,寇毅,女,21.0,33527.0,管理学院,2011
200900130069,胡在平,男,22.0,32956.0,管理学院,2005
200900130070,候建琴,男,19.0,34309.0,环境科学与工程学院,2007
200900130071,李静,女,20.0,33896.0,法学院,2009
200900130072,葛建斌,男,20.0,33614.0,哲学与社会发展学院,2005
200900130073,李根明,女,19.0,34079.0,医学院,2007
200900130074,康全星,女,24.0,32224.0,环境科学与工程学院,2009
200900130075,刘桂平,男,18.0,34506.0,医学院,2008
200900130076,何贵恒,男,24.0,32260.0,公共卫生学院,2007
200900130077,刘建国,男,22.0,33043.0,历史文化学院,2009
200900130079,解雪旦,男,18.0,34678.0,哲学与社会发展学院,2006
200900130080,曹静,男,18.0,34352.0,信息科学与工程学院,2006
200900130082,崔彦斌,男,23.0,32634.0,医学院,2007
200900130083,陈卫国,女,22.0,32969.0,法学院,2011
200900130084,矦海生,男,18.0,34540.0,外国语学院,2007
200900130085,李碧挺,女,19.0,34319.0,生命科学学院,2005
200900130086,杜鑫,女,24.0,32221.0,管理学院,2008
200900130087,李贵猛,男,24.0,32375.0,数学学院,2006
200900130089,侯永强,男,18.0,34352.0,生命科学学院,2005
200900130090,高春生,男,21.0,33519.0,艺术学院,2008
200900130091,靳韶鹏,女,19.0,34131.0,外国语学院,2005
200900130093,曹风林,女,21.0,33575.0,国际教育学院,2007
200900130094,李晓忠,女,18.0,34594.0,信息科学与工程学院,2004
200900130095,李文娟,男,20.0,33757.0,生命科学学院,2007
200900130096,侯志军,女,24.0,32249.0,软件学院,2005
200900130097,李小卫,女,24.0,32195.0,艺术学院,2006
200900130099,陈云栓,男,18.0,34632.0,医学院,2010
200900130100,李保成,女,19.0,34215.0,外国语学院,2009
200900130101,李勇,女,22.0,33204.0,信息科学与工程学院,2007
200900130102,关恩德,女,19.0,33975.0,法学院,2004
200900130104,崔丕龙,女,22.0,33230.0,,2007
200900130105,贾显红,男,18.0,34525.0,外国语学院,2008
200900130106,江毅南,男,20.0,33776.0,经济学院,2007
200900130107,康银全,男,20.0,33931.0,生命科学学院,2007
200900130108,刘洪全,女,24.0,32349.0,马克思主义学院,2009
200900130109,程俊良,男,20.0,33949.0,医学院,2011
200900130111,李有维,男,19.0,34308.0,物理学院,2007
200900130112,安海仙,女,24.0,32284.0,医学院,2005
200900130113,李建阳,男,19.0,34160.0,计算机科学与技术学院,2011
200900130115,段文斌,女,24.0,32322.0,软件学院,2006
200900130116,韩冬梅,男,24.0,32207.0,哲学与社会发展学院,2004
200900130117,刘海燕,男,23.0,32766.0,数学学院,2007
200900130118,李军,女,24.0,32166.0,医学院,2005
200900130119,郭贺春,女,19.0,34284.0,公共卫生学院,2005
200900130121,高云飞,男,21.0,33378.0,经济学院,2004
200900130122,郭小刚,女,23.0,32763.0,信息科学与工程学院,2009
200900130123,李三平,女,23.0,32697.0,化学与化工学院,2010
200900130125,李达,男,19.0,34113.0,经济学院,2010
200900130126,常安忠,女,19.0,33990.0,国际教育学院,2008
200900130127,刘继光,男,19.0,34329.0,医学院,2004
200900130128,胡金风,男,23.0,32709.0,管理学院,2008
200900130129,李明毅,男,20.0,33818.0,国际教育学院,2007
200900130130,刘丹,男,18.0,34486.0,法学院,2009
200900130132,李志明,男,19.0,34138.0,,2006
200900130133,樊白生,,21.0,33252.0,物理学院,2004
200900130134,杜希民,女,19.0,33973.0,数学学院,2004
200900130135,李永明,女,21.0,33420.0,马克思主义学院,2004
200900130137,郭长春,女,19.0,34218.0,软件学院,2009
200900130138,段泽鹏,男,18.0,34534.0,艺术学院,2009
200900130139,郭月庆,女,18.0,34489.0,化学与化工学院,2004
200900130140,刘凤仙,男,18.0,34456.0,外国语学院,2005
200900130141,耿飞翔,男,24.0,32214.0,软件学院,2009
200900130142,郝振新,女,22.0,33149.0,生命科学学院,2004
200900130144,李国贤,女,22.0,33016.0,国际教育学院,2011
200900130145,刘岗,男,23.0,32742.0,生命科学学院,2009
200900130146,常建国,女,22.0,33216.0,法学院,2004
200900130147,郭志峰,男,22.0,33181.0,管理学院,2009
200900130148,常建斌,男,21.0,33280.0,医学院,2004
200900130150,胡建斌,女,20.0,33767.0,艺术学院,2005
200900130151,李红英,女,24.0,32424.0,法学院,2006
200900130152,安喜伟,,23.0,32644.0,生命科学学院,2010
200900130153,常建兵,女,21.0,33569.0,物理学院,2009
200900130154,蔡建立,男,18.0,34488.0,管理学院,2011
200900130155,段江红,男,19.0,34167.0,艺术学院,2009
200900130157,陈军,女,19.0,34186.0,历史文化学院,2006
200900130158,刘峰,男,18.0,34476.0,经济学院,2010
200900130159,曹厚,,21.0,33344.0,生命科学学院,2011
200900130160,孔繁龙,女,24.0,32459.0,历史文化学院,2010
200900130161,刘斌,男,21.0,33346.0,医学院,2008
200900130162,李建斌,女,21.0,33561.0,艺术学院,2006
200900130163,韩文清,男,24.0,32234.0,信息科学与工程学院,2009
200900130164,李安旺,男,21.0,33282.0,外国语学院,2004
200900130165,侯海丽,,24.0,32196.0,国际教育学院,2005
200900130166,郝云峰,女,21.0,33473.0,管理学院,2011
200900130167,李团新,男,22.0,33229.0,公共卫生学院,2009
200900130168,李吉,男,19.0,34176.0,公共卫生学院,2009
200900130169,郭强,,18.0,34579.0,数学学院,2005
200900130170,侯玉生,男,21.0,33461.0,医学院,2006
200900130171,李海平,,20.0,33687.0,化学与化工学院,2009
200900130172,李春梅,女,19.0,34218.0,外国语学院,2006
200900130173,卻炳文,女,19.0,34071.0,软件学院,2004
200900130174,段海清,女,24.0,32153.0,公共卫生学院,2010
200900130175,侯文生,男,18.0,34531.0,哲学与社会发展学院,2005
200900130176,耿超,,21.0,33513.0,计算机科学与技术学院,2011
200900130177,李根,女,19.0,34243.0,管理学院,2004
200900130178,成鹏,男,22.0,33098.0,国际教育学院,2004
200900130179,成永平,男,21.0,33396.0,化学与化工学院,2004
200900130180,毕忠林,男,22.0,33217.0,历史文化学院,2010
200900130181,冯鹏,男,20.0,33896.0,数学学院,2008
200900130182,耿安明,,22.0,32968.0,信息科学与工程学院,2009
200900130183,韩怀信,男,21.0,33407.0,艺术学院,2005
200900130184,康廷玉,女,18.0,34582.0,国际教育学院,2005
200900130185,冯小红,男,20.0,33700.0,国际教育学院,2005
200900130186,康国俊,男,22.0,32941.0,管理学院,2005
200900130187,李金泉,男,20.0,33958.0,法学院,2005
200900130188,李宣生,女,21.0,33276.0,公共卫生学院,2005
200900130189,郭海涛,女,18.0,34473.0,历史文化学院,2011
200900130190,李荣贵,男,19.0,34259.0,,2007
200900130191,靳国庆,男,20.0,33871.0,生命科学学院,2006
200900130192,康煌,男,22.0,33165.0,,2009
200900130193,刘爱梅,男,22.0,33086.0,医学院,2011
200900130194,安和平,男,18.0,34589.0,法学院,2010
200900130195,李金贵,男,21.0,33309.0,国际教育学院,2010
200900130196,李太业,男,19.0,34049.0,经济学院,2005
200900130197,李文珍,女,22.0,32997.0,外国语学院,2004
200900130198,李和平,男,21.0,33586.0,信息科学与工程学院,2006
200900130199,梁春花,男,21.0,33362.0,生命科学学院,2008
200900130200,刘改珍,男,19.0,34175.0,物理学院,2005
200900130201,李宝宝,,20.0,33639.0,国际教育学院,2005
200900130202,高润生,男,22.0,33020.0,物理学院,2007
200900130203,咎跃革,男,24.0,32287.0,环境科学与工程学院,2008
200900130204,胡柳梅,男,21.0,33505.0,马克思主义学院,2010
200900130205,李俊峰,女,23.0,32550.0,物理学院,2006
200900130206,梁映东,女,24.0,32281.0,化学与化工学院,2005
200900130207,范会军,女,18.0,34524.0,国际教育学院,2007
200900130208,李变娥,女,23.0,32530.0,哲学与社会发展学院,2008
200900130209,贾培亮,女,20.0,33910.0,历史文化学院,2008
200900130210,白忠,男,19.0,34046.0,公共卫生学院,2010
200900130211,封宝宝,女,19.0,34184.0,物理学院,2008
200900130212,段存柱,男,24.0,32157.0,生命科学学院,2004
200900130213,韩瑞斌,女,22.0,32919.0,医学院,2011
200900130214,李小平,女,22.0,33202.0,艺术学院,2010
200900130215,房海林,男,24.0,32496.0,法学院,2007
200900130216,郭鹏,女,22.0,32997.0,艺术学院,2010
200900130218,樊利花,男,23.0,32671.0,艺术学院,2011
200900130219,李忠旺,男,21.0,33391.0,软件学院,2004
200900130220,韩发明,男,20.0,33821.0,外国语学院,2008
200900130221,郝芝田,女,23.0,32859.0,生命科学学院,2005
200900130222,车奴平,女,19.0,34156.0,公共卫生学院,2008
200900130223,郭春平,男,18.0,34593.0,软件学院,2006
200900130224,胡二保,,21.0,33407.0,,2006
200900130225,安瑞峰,女,22.0,32978.0,公共卫生学院,2009
200900130226,李继平,男,24.0,32408.0,哲学与社会发展学院,2005
200900130227,李占芳,女,24.0,32456.0,化学与化工学院,2009
200900130228,白利军,女,24.0,32381.0,历史文化学院,2005
200900130229,党海亮,女,19.0,34160.0,马克思主义学院,2008
200900130230,陈嫒嫒,女,19.0,33986.0,环境科学与工程学院,2008
200900130231,董银海,男,18.0,34405.0,管理学院,2004
200900130232,李惠杰,女,20.0,33933.0,历史文化学院,2008
200900130233,李平平,男,22.0,33093.0,信息科学与工程学院,2005
200900130234,白爱平,,22.0,33227.0,,2011
200900130235,程巧兰,男,23.0,32800.0,经济学院,2009
200900130236,郝建伟,女,20.0,33774.0,公共卫生学院,2011
200900130237,付建平,男,18.0,34350.0,,2006
200900130238,高慧宾,,19.0,34076.0,马克思主义学院,2004
200900130239,程海霞,女,20.0,33893.0,化学与化工学院,2007
200900130240,李龙,女,20.0,33674.0,经济学院,2009
200900130241,李廷亮,男,21.0,33474.0,软件学院,2006
200900130242,陈福兰,男,20.0,33757.0,管理学院,2005
200900130244,李彦奎,女,20.0,33768.0,信息科学与工程学院,2009
200900130317,陈忠艳,女,17.0,33061.0,计算机科学与技术学院,2011
200900130318,孔祥明,女,17.0,33452.0,艺术学院,2009
200900130319,李文正,男,26.0,33153.0,经济学院,2009
200900130320,侯宏,女,17.0,32407.0,法学院,2004
200900130321,李越博,,21.0,33313.0,哲学与社会发展学院,2010
200900130322,雷宝明,女,17.0,32694.0,环境科学与工程学院,2010
200900130323,何喜亭,男,26.0,32635.0,外国语学院,2006
200900130324,康斌斌,女,18.0,34694.0,哲学与社会发展学院,2008
200900130325,贾杰,男,26.0,32778.0,国际教育学院,2008
200900130326,李小波,男,26.0,33743.0,数学学院,2009
200900130327,李玉海,女,18.0,34356.0,管理学院,2008
200900130328,崔美英,男,19.0,34195.0,经济学院,2004
200900130329,冯跃松,女,20.0,33676.0,生命科学学院,2005
200900130330,金明阳,女,22.0,32931.0,哲学与社会发展学院,2007
200900130331,龚丽萍,男,24.0,32217.0,环境科学与工程学院,2004
200900130332,郝海云,,23.0,32569.0,计算机科学与技术学院,2007
200900130333,李志国,,24.0,32216.0,公共卫生学院,2011
200900130334,成金娥,男,24.0,32448.0,物理学院,2008
200900130335,来庆松,男,21.0,33278.0,化学与化工学院,2008
200900130336,李郭强,男,24.0,32500.0,计算机科学与技术学院,2009
200900130337,陈建强,男,20.0,33895.0,国际教育学院,2010
200900130338,程朝晖,女,19.0,33974.0,化学与化工学院,2006
200900130339,郝杰朋,男,19.0,34016.0,马克思主义学院,2004
200900130340,栗进强,女,23.0,32586.0,外国语学院,2004
200900130341,李忠,女,24.0,32399.0,经济学院,2005
200900130342,刘静,男,23.0,32770.0,公共卫生学院,2007
200900130343,李佳,女,19.0,34122.0,经济学院,2008
200900130344,段连英,男,20.0,33772.0,艺术学院,2009
200900130345,李荣,男,22.0,32997.0,生命科学学院,2009
200900130346,李建利,男,21.0,33407.0,软件学院,2011
200900130347,范腾飞,女,19.0,34133.0,哲学与社会发展学院,2006
200900130348,郭荣生,男,22.0,32940.0,物理学院,2005
200900130349,弓二红,男,19.0,34145.0,历史文化学院,2005
200900130350,白立明,男,18.0,34622.0,历史文化学院,2004
200900130351,李振平,男,19.0,34285.0,哲学与社会发展学院,2005
200900130352,李乐,女,24.0,32413.0,数学学院,2007
200900130353,郭素良,男,20.0,33644.0,哲学与社会发展学院,2006
200900130354,侯所平,女,21.0,33250.0,信息科学与工程学院,2008
200900130355,李翠良,女,20.0,33770.0,信息科学与工程学院,2005
200900130356,江福军,男,24.0,32227.0,国际教育学院,2011
200900130357,郭瑞军,男,24.0,32494.0,历史文化学院,2005
200900130358,陈保元,,23.0,32679.0,化学与化工学院,2009
200900130359,李正印,男,18.0,34398.0,经济学院,2007
200900130360,陈毅,女,22.0,32974.0,软件学院,2009
200900130361,丁建民,男,19.0,34229.0,生命科学学院,2007
200900130362,冯强,女,23.0,32725.0,经济学院,2005
200900130363,和苏文,,24.0,32181.0,,2008
200900130364,常玉进,男,21.0,33348.0,生命科学学院,2008
200900130365,贾卫泽,女,18.0,34338.0,数学学院,2004
200900130366,梁国伟,女,19.0,34266.0,哲学与社会发展学院,2004
200900130367,贾成旺,男,23.0,32785.0,国际教育学院,2005
200900130368,冯建平,女,20.0,33631.0,经济学院,2008
200900130369,刘国宁,女,23.0,32526.0,,2007
200900130370,郝璧强,男,21.0,33307.0,国际教育学院,2006
200900130371,常晓斌,男,21.0,33528.0,国际教育学院,2004
